股票代號,股票名稱,停券起日(最後回補日),停券迄日,原因,融券_今日餘額_D0,借券_當日餘額_D0,融券_今日餘額_D-1,借券_當日餘額_D-1,融券_今日餘額_D-2,借券_當日餘額_D-2,融券_今日餘額_D-3,借券_當日餘額_D-3,融券_今日餘額_D-4,借券_當日餘額_D-4
00939,統一台灣高息動能,115.05.27,115.06.01,分配收益,0,"16,680,000",0,"16,836,000",0,"16,615,000",0,"16,894,000",0,"18,460,000"
00940,元大台灣價值高息,115.06.03,115.06.08,分配收益,"20,000","78,148,000","20,000","78,177,000","17,000","78,982,000","9,000","86,959,000",0,"83,562,000"
00946,群益科技高息成長,115.05.27,115.06.01,分配收益,0,"3,590,000",0,"3,439,000",0,"3,167,000",0,"3,167,000",0,"3,161,000"
00953B,群益優選非投等債,115.05.27,115.06.01,分配收益,0,"87,389,000",0,"87,391,000",0,"87,391,000",0,"87,451,000",0,"87,452,000"
00984D,主動聯博全球非投,115.05.27,115.06.01,分配收益,0,"8,512,000",0,"8,387,000",0,"8,172,000",0,"7,848,000",0,"5,828,000"
00985B,群益ESG投等債0-5,115.05.27,115.06.01,分配收益,0,"6,213,000",0,"6,311,000",0,"6,403,000",0,"6,407,000",0,"6,612,000"
1219,福壽,115.06.02,115.06.05,除息,0,"1,461,880",0,"1,443,880",0,"1,377,880",0,"1,297,880",0,"1,289,880"
1233,天仁,115.07.15,115.07.20,除息,0,"79,000",0,"78,000",0,"76,000",0,"76,000",0,"76,000"
1234,黑松,115.06.23,115.06.26,除息,0,"1,243,000",0,"1,241,000",0,"1,241,000",0,"1,226,000",0,"1,222,000"
1319,東陽,115.06.15,115.06.18,除息,"55,000","36,073,094","56,000","35,984,094","56,000","35,331,094","56,000","35,373,094","4,000","34,842,094"
1323,永裕,115.05.27,115.06.01,除息,0,"432,000",0,"433,000",0,"433,000",0,"433,000",0,"434,000"
1416,廣豐,115.06.03,115.06.08,除息,0,"400,000",0,"408,000",0,"408,000",0,"408,000",0,"409,000"
1459,聯發,115.05.22,115.05.27,除息,0,"192,000",0,"193,000",0,"193,000",0,"193,000",0,"193,000"
1513,中興電,115.07.03,115.07.08,除息,"29,000","30,752,000","30,000","30,392,000","28,000","29,824,000","33,000","29,557,000","18,000","28,833,000"
1515,力山,115.06.04,115.06.09,除息,"3,000","2,853,676","5,000","2,798,676","5,000","2,751,676","3,000","2,713,676","3,000","2,687,676"
1590,亞德客-KY,115.07.17,115.07.22,除息,"1,000","430,236","1,000","530,236","1,000","545,236","1,000","544,236","1,000","528,236"
1605,華新,115.06.05,115.06.10,除息,"527,000","114,509,747","584,000","114,988,747","596,000","115,432,747","449,000","115,439,747","216,000","115,109,747"
1702,南僑,115.05.22,115.05.27,除息,0,"7,795,000",0,"7,699,000",0,"7,593,000",0,"7,563,000",0,"7,642,000"
1708,東鹼,115.05.22,115.05.27,除息,0,"4,885,000",0,"4,473,000",0,"4,335,000","7,000","4,337,000","8,000","4,375,000"
1733,五鼎,115.06.03,115.06.08,除息,0,"1,072,000",0,"1,183,000",0,"1,177,000",0,"1,315,000",0,"1,315,000"
1760,寶齡富錦,115.06.05,115.06.10,除息,"7,000","933,000","7,000","908,000","7,000","863,000","7,000","842,000","7,000","821,000"
2031,新光鋼,115.06.09,115.06.12,除息,"1,000","3,375,000","1,000","3,247,000","8,000","3,235,000","8,000","3,220,000","8,000","3,197,000"
2105,正新,115.06.11,115.06.16,除息,"1,000","30,434,450",0,"30,442,450","1,000","30,823,451",0,"30,732,451",0,"30,496,451"
2114,鑫永銓,115.06.03,115.06.08,除息,0,"137,800",0,"137,800",0,"136,800",0,"136,800",0,"136,800"
2313,華通,115.05.27,115.06.01,除息,"236,000","18,789,000","529,000","19,721,000","518,000","20,676,000","440,000","20,983,000","467,000","23,024,000"
2380,虹光,115.06.11,,減資,0,0,0,0,0,0,0,0,0,0
2385,群光,115.06.09,115.06.12,除息,"2,000","51,393,356","2,000","51,732,356","2,000","51,955,356","2,000","52,222,356","2,000","52,290,881"
2421,建準,115.06.04,115.06.09,除息,"27,000","15,119,172","27,000","15,567,172","30,000","15,898,172","37,000","15,617,172","35,000","15,606,172"
2450,神腦,115.06.11,115.06.16,除息,"4,000","550,000","4,000","540,000","4,000","487,000","4,000","478,000","4,000","481,000"
2548,華固,115.05.27,115.06.01,除息,"4,000","4,973,700","4,000","4,682,700","4,000","4,279,700","4,000","4,000,700","4,000","3,877,700"
2612,中航,115.05.26,115.05.29,除息,0,"2,754,000",0,"2,759,000",0,"2,722,000",0,"2,714,000",0,"2,709,000"
2636,台驊控股,115.07.09,115.07.14,除息,"1,000","3,182,626","1,000","3,164,626","1,000","3,144,626","1,000","3,202,626","1,000","3,186,626"
2642,宅配通,115.05.28,115.06.02,除息,0,"386,000",0,"391,000","4,000","391,000","4,000","391,000","8,000","391,000"
2731,雄獅,115.06.03,115.06.08,除息,"22,000","4,404,631","17,000","4,370,631","18,000","4,186,631","23,000","4,044,631","23,000","3,998,631"
3015,全漢,115.06.10,115.06.15,除息,"1,000","4,455,000","1,000","4,350,000","1,000","4,282,000","1,000","4,259,000","1,000","4,156,000"
3036,文曄,115.06.02,115.06.05,除息,"256,000","63,979,751","262,000","63,815,751","295,000","63,322,751","341,000","63,449,124","368,000","62,888,124"
3090,日電貿,115.06.26,115.07.01,除息,"1,271,000","6,855,000","1,064,000","7,224,000","955,000","7,818,000","1,219,000","7,853,000","873,000","5,701,000"
3356,奇偶,115.05.29,115.06.03,除息,"86,000","643,000","91,000","639,000","90,000","621,000","76,000","617,000","66,000","612,000"
3406,玉晶光,115.06.02,115.06.05,除息,"41,000","1,753,000","42,000","1,766,000","41,000","1,775,000","42,000","1,781,000","38,000","1,836,000"
3443,創意,115.06.02,115.06.05,除息,"68,000","642,825","71,000","641,825","71,000","677,825","77,000","618,825","59,000","590,825"
3447,展達,115.06.15,115.06.18,除息,"8,000","615,000","9,000","612,000","9,000","605,000","9,000","605,000","19,000","604,000"
3563,牧德,115.06.23,115.06.26,除息,"24,000","3,070,700","25,000","3,080,700","29,000","3,362,700","33,000","3,343,700","19,000","3,352,700"
3705,永信,115.06.17,115.06.23,除息,0,"2,237,000",0,"2,237,000",0,"2,240,000",0,"2,234,000",0,"2,293,000"
3717,聯嘉投控,115.05.22,115.05.27,現金增資,0,"3,603,000",0,"4,139,000","49,000","4,293,000","976,000","4,392,000","900,000","4,361,000"
4555,氣立,115.05.27,115.06.01,除息,"2,000","317,000","7,000","361,000","19,000","352,000","23,000","352,000","15,000","352,000"
4585,達明,115.05.22,115.05.27,除息,0,"387,000",0,"400,000",0,"421,000","1,000","432,000",0,"427,000"
4904,遠傳,115.07.02,115.07.07,除息,0,"3,398,864",0,"3,458,864",0,"3,565,864",0,"3,392,864",0,"2,941,864"
4912,聯德控股-KY,115.05.27,115.06.01,除息,"10,000","484,713","10,000","506,713","10,000","505,713","12,000","523,713","12,000","743,713"
4934,太極,115.06.02,,其他,0,0,0,0,0,0,0,0,0,0
4958,臻鼎-KY,115.06.02,115.06.05,除息,"713,000","38,646,000","917,000","39,790,000","1,035,000","39,459,534","965,000","45,005,534","909,000","45,397,534"
4989,榮科,115.06.23,115.06.26,現金增資,"160,000","4,616,000","161,000","4,874,000","172,000","4,990,000","172,000","5,107,000","147,000","5,148,000"
5522,遠雄,115.06.18,115.06.24,除息,"4,000","10,693,505","4,000","10,716,505","3,000","10,662,505","2,000","10,549,505","2,000","10,736,505"
6120,達運,115.06.15,115.06.18,除息,"1,000","7,454,000","182,000","7,438,000","142,000","7,343,000","1,000","7,367,000","9,000","7,333,000"
6176,瑞儀,115.05.26,115.05.29,除息,0,"44,268,883","5,000","43,386,883","8,000","42,335,883","9,000","42,657,035","7,000","41,529,035"
6271,同欣電,115.06.04,115.06.09,除息,"145,000","3,908,208","107,000","3,824,208","104,000","4,545,208","85,000","4,866,208","29,000","5,526,208"
6412,群電,115.06.03,115.06.08,除息,"16,000","18,405,000","14,000","19,046,000","15,000","19,304,000","13,000","19,291,000","15,000","19,354,000"
6491,晶碩,115.08.03,115.08.06,除息,"1,000","1,017,145","1,000","996,145","1,000","996,145","1,000","1,007,145","1,000","1,008,145"
6525,捷敏-KY,115.06.01,115.06.04,除息,"27,000","459,000","1,000","467,000","1,000","473,000","1,000","481,000","1,000","474,000"
6655,科定,115.06.25,115.06.30,除息,0,"9,000",0,"11,000",0,"11,000",0,"10,000",0,"10,000"
6658,聯策,115.06.02,115.06.05,除息,"56,000","472,000","61,000","492,000","62,000","493,000","59,000","521,000","61,000","535,000"
6754,匯僑設計,115.06.30,115.07.03,除息,0,"61,000",0,"61,000",0,"61,000",0,"61,000",0,"61,000"
