股票代號,股票名稱,停券起日(最後回補日),停券迄日,原因,融券_今日餘額_D0,借券_當日餘額_D0,融券_今日餘額_D-1,借券_當日餘額_D-1,融券_今日餘額_D-2,借券_當日餘額_D-2,融券_今日餘額_D-3,借券_當日餘額_D-3,融券_今日餘額_D-4,借券_當日餘額_D-4
00400A,主動國泰動能高息,115.10.02,115.10.07,分配收益,"32,000","29,058,000","22,000","29,058,000","2,000","29,058,000","2,000","29,057,000","2,000","27,735,000"
00406A,主動中信台灣收益,115.09.29,115.10.02,分配收益,"91,000","50,778,000","22,000","47,878,000","74,000","47,623,000","662,000","47,548,000","1,302,000","36,843,000"
00662,富邦NASDAQ,115.11.05,115.11.10,ETF分割,0,"17,480,000",0,"17,475,000",0,"17,475,000",0,"20,489,000",0,"20,518,000"
00939,統一台灣高息動能,115.09.29,115.10.02,分配收益,0,"11,741,000",0,"11,046,000",0,"10,590,000",0,"9,701,000",0,"9,122,000"
00940,元大台灣價值高息,115.10.01,115.10.06,分配收益,0,"14,079,000",0,"13,913,000",0,"13,355,000",0,"12,727,000",0,"12,686,000"
00946,群益科技高息成長,115.10.01,115.10.06,分配收益,0,"1,382,000",0,"1,382,000",0,"1,382,000",0,"1,382,000",0,"1,382,000"
00953B,群益優選非投等債,115.10.01,115.10.06,分配收益,0,"82,270,000",0,"89,217,000",0,"88,902,000",0,"88,953,000",0,"88,953,000"
00984D,主動聯博全球非投,115.09.29,115.10.02,分配收益,0,"26,412,000",0,"26,767,000",0,"26,767,000",0,"26,747,000",0,"26,824,000"
00985B,群益ESG投等債0-5,115.10.01,115.10.06,分配收益,0,"9,274,000",0,"9,274,000",0,"9,274,000",0,"9,008,000",0,"9,008,000"
1225,福懋油,115.09.23,115.09.30,股東常會,0,0,0,0,0,0,0,0,"1,000",0
1235,興泰,115.09.18,115.09.23,除權息,0,"35,690",0,"35,690",0,"35,690",0,"34,690",0,"34,690"
2109,華豐,115.09.21,115.09.24,除息,0,"555,000",0,"555,000",0,"555,000",0,"555,000",0,"555,000"
2323,中環,115.09.23,115.09.30,除息,"3,000","109,000","4,000","109,000","8,000","109,000","8,000","445,000","8,000","819,000"
2323,中環,115.09.23,115.09.30,減資,"3,000","109,000","4,000","109,000","8,000","109,000","8,000","445,000","8,000","819,000"
2614,東森,115.09.30,115.10.05,除權息,0,"2,501,010",0,"2,511,010",0,"2,509,010",0,"2,497,010",0,"2,540,010"
2614,東森,115.09.30,115.10.05,現金增資,0,"2,501,010",0,"2,511,010",0,"2,509,010",0,"2,497,010",0,"2,540,010"
2890,永豐金,115.10.01,115.10.06,現金增資,"81,000","53,376,805","81,000","53,825,805","81,000","53,799,805","84,000","54,315,805","84,000","53,395,805"
4155,訊映,115.10.01,115.10.06,減資,"2,000","368,290","2,000","368,290","2,000","395,290","1,000","395,290","1,000","395,290"
4552,力達-KY,115.10.21,115.10.27,除息,0,"371,000",0,"374,000",0,"361,000",0,"374,000","12,000","410,000"
6108,競國,115.10.01,115.10.06,除息,"14,000","488,000","14,000","488,000","15,000","488,000","16,000","488,000","16,000","488,000"
6834,天二科技,115.09.24,115.10.01,現金增資,"118,000","1,153,000","164,000","1,152,000","155,000","1,207,000","141,000","1,386,000","129,000","1,436,000"
7631,聚賢研發-創,115.09.21,115.09.24,除息,0,"1,000",0,"1,000",0,"1,000",0,"1,000",0,"1,000"
8021,尖點,115.09.30,115.10.05,現金增資,"1,072,000","5,618,984","202,000","5,734,984","112,000","5,784,984","118,000","5,999,984","109,000","5,978,984"
9927,泰銘,115.09.23,115.09.30,除息,0,"365,000",0,"365,000",0,"370,000",0,"370,000",0,"389,000"
