股票代號,股票名稱,停券起日(最後回補日),停券迄日,原因,融券_今日餘額_D0,借券_當日餘額_D0,融券_今日餘額_D-1,借券_當日餘額_D-1,融券_今日餘額_D-2,借券_當日餘額_D-2,融券_今日餘額_D-3,借券_當日餘額_D-3,融券_今日餘額_D-4,借券_當日餘額_D-4
00631L,元大台灣50正2,115.03.19,115.03.24,ETF分割,"697,000","494,000","559,000","1,175,000","549,000","1,175,000","471,000","1,630,000","543,000","1,986,000"
00710B,復華彭博非投等債,115.03.12,115.03.17,分配收益,0,"483,000",0,"483,000",0,"483,000",0,"483,000",0,"483,000"
00711B,復華彭博新興債,115.03.12,115.03.17,分配收益,0,"99,000",0,"99,000",0,"99,000",0,"99,000",0,"99,000"
00712,復華富時不動產,115.03.12,115.03.17,分配收益,"6,000","38,137,000","5,000","34,237,000","24,000","34,228,000","4,000","28,475,000","6,000","33,798,000"
00713,元大台灣高息低波,115.03.16,115.03.19,分配收益,0,"6,777,000",0,"6,936,000",0,"6,936,000","4,000","6,936,000","4,000","6,936,000"
00728,第一金工業30,115.03.13,115.03.18,分配收益,0,"91,000",0,"91,000",0,"91,000",0,"91,000",0,"91,000"
00730,富邦臺灣優質高息,115.03.11,115.03.16,分配收益,0,"1,777,000",0,"1,777,000",0,"1,777,000",0,"1,777,000",0,"1,777,000"
00896,中信綠能及電動車,115.03.11,115.03.16,分配收益,0,"3,818,000",0,"3,629,000",0,"3,543,000",0,"3,062,000",0,"2,817,000"
00900,富邦特選高股息30,115.03.11,115.03.16,分配收益,"1,000","37,067,000","1,000","36,599,000","1,000","35,949,000",0,"33,908,000",0,"33,636,000"
00915,凱基優選高股息30,115.03.11,115.03.16,分配收益,0,"4,256,000",0,"3,987,000",0,"3,537,000",0,"1,673,000",0,"1,673,000"
00918,大華優利高填息30,115.03.13,115.03.18,分配收益,0,"16,255,000",0,"18,402,000",0,"18,372,000",0,"17,354,000",0,"17,206,000"
00919,群益台灣精選高息,115.03.11,115.03.16,分配收益,0,"198,981,000","17,000","200,421,000","7,000","199,418,000","49,000","197,059,000","188,000","196,117,000"
00921,兆豐龍頭等權重,115.03.11,115.03.16,分配收益,0,"314,000",0,"314,000",0,"314,000",0,"314,000",0,"314,000"
00922,國泰台灣領袖50,115.03.11,115.03.16,分配收益,"1,000","50,871,000","10,000","47,511,000","1,000","40,381,000","45,000","34,483,000","47,000","28,859,000"
00929,復華台灣科技優息,115.03.12,115.03.17,分配收益,0,"54,104,000",0,"54,426,000","11,000","53,650,000","11,000","53,168,000","11,000","51,820,000"
00930,永豐ESG低碳高息,115.03.17,115.03.20,分配收益,0,"1,883,000",0,"1,883,000",0,"1,883,000",0,"1,871,000",0,"1,871,000"
00934,中信成長高股息,115.03.11,115.03.16,分配收益,0,"1,870,000",0,"1,726,000",0,"1,566,000",0,"1,409,000",0,"1,170,000"
00935,野村臺灣新科技50,115.03.11,115.03.16,分配收益,0,"7,267,000",0,"7,064,000",0,"6,293,000","6,000","6,139,000","10,000","5,974,000"
00936,台新永續高息中小,115.03.10,115.03.13,分配收益,0,"1,439,000",0,"1,439,000",0,"1,439,000",0,"1,404,000",0,"1,404,000"
00943,兆豐電子高息等權,115.03.11,115.03.16,分配收益,0,"617,000",0,"617,000",0,"617,000",0,"617,000",0,"617,000"
00944,野村趨勢動能高息,115.03.11,115.03.16,分配收益,0,"520,000",0,"520,000",0,"520,000",0,"483,000",0,"483,000"
00945B,凱基美國非投等債,115.03.11,115.03.16,分配收益,0,"8,788,000",0,"8,788,000",0,"8,788,000",0,"8,788,000",0,"8,788,000"
00952,凱基台灣AI50,115.03.11,115.03.16,分配收益,0,"467,000",0,"467,000",0,"467,000",0,"391,000",0,"391,000"
00961,FT臺灣永續高息,115.03.11,115.03.16,分配收益,0,"1,947,000",0,"1,947,000",0,"1,947,000",0,"1,904,000",0,"1,824,000"
00962,台新AI優息動能,115.03.10,115.03.13,分配收益,0,"147,000",0,"147,000",0,"147,000",0,"144,000",0,"144,000"
00963,中信全球高股息,115.03.11,115.03.16,分配收益,0,"2,338,000",0,"2,338,000",0,"2,338,000",0,"2,338,000",0,"2,338,000"
00964,中信亞太高股息,115.03.11,115.03.16,分配收益,0,"809,000",0,"809,000",0,"809,000",0,"797,000",0,"797,000"
00972,野村日本動能高息,115.03.11,115.03.16,分配收益,0,"203,000",0,"203,000",0,"203,000",0,"203,000",0,"203,000"
009802,富邦旗艦50,115.03.11,115.03.16,分配收益,0,"780,000",0,"780,000",0,"780,000","1,000","780,000","1,000","780,000"
009803,保德信市值動能50,115.03.11,115.03.16,分配收益,0,"964,000",0,"1,314,000",0,"1,314,000",0,"1,303,000",0,"1,250,000"
00981A,主動統一台股增長,115.03.11,115.03.16,分配收益,"1,000","152,676,000","20,808,000","154,783,000","21,654,000","153,696,000","276,000","136,782,000","422,000","136,692,000"
00981T,平衡凱基雙核收息,115.03.11,115.03.16,分配收益,0,"1,899,000",0,"1,899,000",0,"1,899,000",0,"1,899,000",0,"3,899,000"
00982D,主動富邦動態入息,115.03.11,115.03.16,分配收益,0,"442,000",0,"442,000",0,"442,000",0,"442,000",0,"442,000"
00983D,主動富邦複合收益,115.03.11,115.03.16,分配收益,0,"844,000",0,"844,000",0,"844,000",0,"844,000",0,"844,000"
1101,台泥,115.03.16,115.03.19,股東常會,"352,000","169,566,565","261,000","168,337,565","248,000","163,465,565","341,000","158,687,565","303,000","159,225,565"
1103,嘉泥,115.03.16,115.03.19,股東常會,"2,000","1,753,000","2,000","1,753,000","2,000","1,755,000","2,000","1,711,000","2,000","1,701,000"
1215,卜蜂,115.03.20,115.03.25,股東常會,"9,000","5,001,900","9,000","4,788,900","9,000","4,821,900","9,000","4,571,900","10,000","4,490,900"
1216,統一,115.03.20,115.03.25,股東常會,"15,000","150,867,211","16,000","150,593,813","15,000","148,264,813","17,000","146,410,813","16,000","144,850,813"
1219,福壽,115.03.13,115.03.18,股東常會,0,"1,136,880",0,"1,136,880",0,"1,135,880",0,"1,135,880",0,"1,135,880"
1232,大統益,115.03.16,115.03.19,股東常會,0,"312,000",0,"310,000",0,"307,000",0,"305,000",0,"305,000"
1310,台苯,115.03.19,115.03.24,股東常會,"107,000","9,357,000","139,000","9,722,000","118,000","9,189,000","34,000","8,091,000","20,000","7,980,000"
1314,中石化,115.03.16,115.03.19,股東常會,"1,032,000","124,867,033","753,000","114,037,033","372,000","106,553,033","302,000","105,606,033","93,000","108,651,033"
1319,東陽,115.04.10,115.04.15,股東常會,"42,000","15,472,854","135,000","14,944,382","134,000","14,112,382","146,000","13,942,382","141,000","13,943,382"
1337,再生-KY,115.04.02,115.04.09,股東常會,"6,000","1,939,994","6,000","1,870,994","6,000","1,804,994","6,000","1,508,994","6,000","1,502,994"
1338,廣華-KY,115.03.16,115.03.19,股東常會,0,"254,000",0,"254,000",0,"255,000",0,"250,000",0,"242,000"
1339,昭輝,115.03.23,115.03.26,股東常會,"2,000","213,000",0,"213,000",0,"210,000",0,"209,000",0,"209,000"
1409,新纖,115.03.20,115.03.25,股東常會,"9,000","12,484,000","11,000","12,421,000","14,000","12,395,000","12,000","12,357,000","93,000","12,331,000"
1413,宏洲,115.03.16,,股東常會,0,0,0,0,0,0,0,0,0,0
1416,廣豐,115.03.16,115.03.19,股東常會,0,"401,000",0,"401,000",0,"401,000",0,"399,000",0,"399,000"
1417,嘉裕,115.03.16,115.03.19,股東常會,0,"421,000",0,"421,000",0,"421,000",0,"411,000",0,"411,000"
1432,大魯閣,115.03.20,,股東常會,0,0,0,0,0,0,0,0,0,0
1436,華友聯,115.03.20,115.03.25,股東常會,"39,000","2,277,867","39,000","2,292,867","39,000","2,273,867","39,000","2,316,867","39,000","2,314,867"
1452,宏益,115.04.02,115.04.09,股東常會,0,"341,000",0,"336,000",0,"330,000",0,"323,000",0,"317,000"
1456,怡華,115.03.23,115.03.26,股東常會,0,"155,000",0,"155,000",0,"156,000",0,"156,000",0,"156,000"
1460,宏遠,115.03.20,,股東常會,0,0,0,0,0,0,0,0,0,0
1472,三洋實業,115.03.20,115.03.25,股東常會,0,"110,236",0,"112,236",0,"110,236",0,"108,236",0,"110,236"
